worker_id,plan_tier,weekly_premium,policy_status,eligibility_flag,events_used,events_remaining,renewal_count,trigger_value,claim_auto_created,claim_valid_flag,payout_amount,income_loss,gps_lat,gps_lng,gps_tower_delta,accelerometer_variance,claim_response_time_sec,app_interaction_count,fraud_score,fraud_flag,days_active,payout_status_encoded,experience_level,shift_hours,fraud_risk_score,kyc_verified,bank_verified
1,3,79,2,0,1,29,2,457.0,1,1,0.0,587.6,28.646082,77.339274,0.9,6.638,1060.3,23,0.085,0,199,1,9.0,8.1,0.3451,0,1
1,3,79,2,0,2,28,2,5.7,0,1,0.0,122.8,28.487599,77.2419,63.5,12.728,282.3,37,0.0835,0,199,4,9.0,8.1,0.3451,0,1
1,3,79,2,0,3,27,2,401.0,1,1,0.0,488.0,28.553478,77.091368,77.5,3.984,924.4,1,0.425,0,199,1,9.0,8.1,0.3451,0,1
1,3,79,2,0,4,26,2,1.0,0,1,560.5,81.1,28.659369,77.366522,65.5,41.744,967.2,10,0.0122,0,199,0,9.0,8.1,0.3451,0,1
1,3,79,2,0,5,25,2,1.0,0,1,0.0,214.0,28.643917,77.177585,74.8,44.792,397.2,17,0.7988,1,199,1,9.0,8.1,0.3451,0,1
1,3,79,2,0,6,24,2,342.0,1,1,678.9,317.7,28.580306,77.311388,54.0,77.161,547.7,48,0.1034,0,199,0,9.0,8.1,0.3451,0,1
1,3,79,2,1,7,23,2,41.3,0,1,0.0,138.8,28.59853,77.304319,74.9,76.058,426.4,13,0.8605,1,199,1,9.0,8.1,0.3451,0,1
1,3,79,2,0,8,22,2,353.0,1,1,591.8,143.5,28.622856,77.10697,51.1,72.191,389.8,56,0.1598,0,199,0,9.0,8.1,0.3451,0,1
1,3,79,2,1,9,21,2,40.8,1,1,683.1,326.3,28.758478,77.311406,86.7,49.64,668.8,15,0.4616,0,199,0,9.0,8.1,0.3451,0,1
1,3,79,2,0,10,20,2,1.0,1,1,668.5,297.1,28.757985,77.12089,35.2,18.823,778.8,51,0.01,0,199,0,9.0,8.1,0.3451,0,1
1,3,79,2,0,11,19,2,1.0,0,1,190.1,352.6,28.762092,77.138897,41.2,60.775,429.5,27,0.2499,0,199,0,9.0,8.1,0.3451,0,1
1,3,79,2,1,12,18,2,46.4,1,1,162.6,109.7,28.822305,77.201304,34.0,75.892,797.1,37,0.01,0,199,0,9.0,8.1,0.3451,0,1
1,3,79,2,1,13,17,2,40.8,1,1,0.0,225.3,28.657388,77.046584,51.4,40.721,393.7,25,0.1908,0,199,1,9.0,8.1,0.3451,0,1
1,3,79,2,0,14,16,2,14.9,1,1,0.0,398.4,28.372389,77.280629,33.4,7.828,453.4,21,0.7788,1,199,1,9.0,8.1,0.3451,0,1
1,3,79,2,0,15,15,2,40.9,1,1,730.4,420.7,28.693755,77.123215,62.9,77.756,549.2,56,0.521,0,199,0,9.0,8.1,0.3451,0,1
2,3,79,0,1,1,29,2,328.0,0,1,0.0,530.3,27.008508,75.82802,3.5,33.283,652.1,20,0.0341,0,199,4,10.7,7.8,0.6571,1,0
2,3,79,0,1,2,28,2,212.0,1,1,0.0,590.0,26.927076,76.0258,58.2,4.631,956.4,28,0.01,0,199,4,10.7,7.8,0.6571,1,0
2,3,79,0,1,3,27,2,1.0,0,1,1000.9,961.7,26.803701,75.948931,12.0,33.439,242.3,55,0.0315,0,199,0,10.7,7.8,0.6571,1,0
2,3,79,0,1,4,26,2,45.4,0,1,726.5,413.1,26.885916,75.68123,22.8,29.663,117.7,56,0.2179,0,199,0,10.7,7.8,0.6571,1,0
2,3,79,0,1,5,25,2,289.0,0,1,0.0,428.4,26.968239,75.73828,4.0,16.979,904.1,26,0.01,0,199,1,10.7,7.8,0.6571,1,0
2,3,79,0,1,6,24,2,288.0,0,1,639.5,239.1,26.975066,75.965634,41.1,37.961,724.8,40,0.4672,0,199,0,10.7,7.8,0.6571,1,0
2,3,79,0,1,7,23,2,347.0,0,1,628.6,217.3,27.043464,75.768028,38.7,48.507,886.2,41,0.0813,0,199,0,10.7,7.8,0.6571,1,0
2,3,79,0,1,8,22,2,406.0,0,1,804.5,569.0,26.805261,75.683015,5.9,52.422,913.2,9,0.1012,0,199,0,10.7,7.8,0.6571,1,0
2,3,79,0,1,9,21,2,1.0,0,1,593.1,146.3,26.996928,75.850001,81.0,63.49,212.2,44,0.086,0,199,0,10.7,7.8,0.6571,1,0
3,3,79,0,1,1,29,2,25.7,1,1,567.1,94.3,17.38943,78.329663,43.9,37.046,594.5,39,0.4279,0,199,0,3.8,10.3,0.2202,1,1
3,3,79,0,1,2,28,2,14.1,1,1,632.3,224.6,17.466221,78.570402,88.0,6.895,476.9,44,0.0842,0,199,0,3.8,10.3,0.2202,1,1
3,3,79,0,1,3,27,2,34.0,0,0,0.0,61.0,17.455187,78.395228,32.9,10.806,653.1,58,0.0726,0,199,2,3.8,10.3,0.2202,1,1
3,3,79,0,1,4,26,2,37.2,0,1,627.1,214.2,17.422015,78.430385,24.7,60.413,1119.2,47,0.0318,0,199,0,3.8,10.3,0.2202,1,1
3,3,79,0,1,5,25,2,12.5,0,1,565.2,90.4,17.398607,78.416085,59.2,4.022,764.8,18,0.0157,0,199,0,3.8,10.3,0.2202,1,1
3,3,79,0,1,6,24,2,1.0,1,1,546.9,53.8,17.225964,78.666199,24.1,16.72,641.7,39,0.0254,0,199,0,3.8,10.3,0.2202,1,1
3,3,79,0,1,7,23,2,1.0,1,1,0.0,38.6,17.374694,78.551108,30.0,17.794,80.5,23,0.7619,1,199,4,3.8,10.3,0.2202,1,1
3,3,79,0,1,8,22,2,239.0,1,1,0.0,50.1,17.332855,78.364849,38.8,6.73,622.8,45,0.569,0,199,4,3.8,10.3,0.2202,1,1
3,3,79,0,1,9,21,2,38.4,1,1,585.0,130.0,17.535434,78.298262,1.0,46.076,639.1,56,0.3964,0,199,0,3.8,10.3,0.2202,1,1
3,3,79,0,1,10,20,2,40.7,0,1,562.4,84.8,17.42521,78.562117,26.3,33.744,398.8,47,0.0712,0,199,0,3.8,10.3,0.2202,1,1
3,3,79,0,1,11,19,2,282.0,1,1,200.8,46.2,17.403532,78.553457,60.0,27.964,662.2,56,0.0417,0,199,0,3.8,10.3,0.2202,1,1
3,3,79,0,1,12,18,2,28.0,1,1,570.0,100.0,17.327865,78.569784,56.1,57.434,407.3,28,0.2303,0,199,0,3.8,10.3,0.2202,1,1
3,3,79,0,1,13,17,2,5.1,1,1,553.5,67.0,17.470429,78.523969,83.7,9.384,1012.2,23,0.1828,0,199,0,3.8,10.3,0.2202,1,1
3,3,79,0,1,14,16,2,7.0,0,1,0.0,52.2,17.465556,78.514031,3.1,78.201,443.1,60,0.4198,0,199,4,3.8,10.3,0.2202,1,1
3,3,79,0,1,15,15,2,35.4,1,1,0.0,171.1,17.354575,78.220883,63.5,14.581,759.0,24,0.1188,0,199,4,3.8,10.3,0.2202,1,1
3,3,79,0,1,16,14,2,39.6,0,1,560.2,80.5,17.284743,78.662755,75.4,24.329,1175.3,42,0.4472,0,199,0,3.8,10.3,0.2202,1,1
3,3,79,0,1,17,13,2,51.8,0,1,0.0,90.8,17.456238,78.4888,1.4,3.236,373.1,16,0.6895,1,199,2,3.8,10.3,0.2202,1,1
4,0,49,1,0,1,29,4,1.0,0,1,0.0,504.6,17.401725,78.439244,83.1,59.687,284.5,15,0.1541,0,199,4,6.1,6.1,0.2578,1,1
4,0,49,1,0,2,28,4,28.5,0,1,540.4,520.8,17.420203,78.372627,36.9,71.92,581.7,36,0.1816,0,199,0,6.1,6.1,0.2578,1,1
4,0,49,1,1,3,27,4,1.0,0,1,0.0,709.1,17.245855,78.551475,40.2,78.409,838.4,4,0.1508,0,199,3,6.1,6.1,0.2578,1,1
4,0,49,1,1,4,26,4,1.0,1,1,0.0,699.7,17.463187,78.421225,2.7,35.218,586.1,14,0.1299,0,199,3,6.1,6.1,0.2578,1,1
4,0,49,1,1,5,25,4,5.8,1,1,0.0,116.0,17.047181,78.382317,38.8,13.089,1077.4,27,0.1582,0,199,4,6.1,6.1,0.2578,1,1
4,0,49,1,0,6,24,4,8.1,1,1,484.5,409.0,17.273659,78.45997,70.8,58.436,103.9,46,0.4372,0,199,0,6.1,6.1,0.2578,1,1
4,0,49,1,0,7,23,4,40.7,0,1,0.0,521.9,17.370685,78.346253,252.5,53.48,178.8,36,0.4223,0,199,4,6.1,6.1,0.2578,1,1
4,0,49,1,1,8,22,4,25.1,1,1,0.0,294.1,17.47836,78.670465,229.3,48.761,584.8,38,0.3355,0,199,3,6.1,6.1,0.2578,1,1
4,0,49,1,0,9,21,4,35.0,0,1,505.2,450.5,17.303568,78.352871,74.4,3.714,1033.2,37,0.0399,0,199,0,6.1,6.1,0.2578,1,1
4,0,49,1,0,10,20,4,33.5,0,1,174.4,396.6,17.520694,78.494592,63.1,73.52,409.6,31,0.01,0,199,0,6.1,6.1,0.2578,1,1
4,0,49,1,0,11,19,4,29.2,1,1,531.7,503.4,17.286871,78.528782,56.5,57.466,144.9,7,0.01,0,199,0,6.1,6.1,0.2578,1,1
4,0,49,1,0,12,18,4,1.0,1,1,0.0,445.4,17.308688,78.424671,20.7,71.909,511.4,2,0.3688,0,199,4,6.1,6.1,0.2578,1,1
4,0,49,1,1,13,17,4,1.0,0,1,0.0,452.2,17.38629,78.395933,4.7,20.463,701.7,18,0.6892,1,199,2,6.1,6.1,0.2578,1,1
4,0,49,1,0,14,16,4,0.0,1,1,489.4,418.9,17.40265,78.529051,33.8,75.367,74.0,3,0.1316,0,199,0,6.1,6.1,0.2578,1,1
5,3,79,0,1,1,29,0,26.0,0,1,0.0,763.0,19.003574,73.057586,9.4,7.21,315.7,13,0.9042,1,199,1,1.8,3.0,0.6679,1,1
5,3,79,0,1,2,28,0,26.6,0,1,0.0,446.5,19.213883,72.792409,181.9,40.714,606.4,53,0.2141,0,199,4,1.8,3.0,0.6679,1,1
5,3,79,0,1,3,27,0,49.8,1,1,618.4,196.8,18.946673,72.989875,51.4,67.289,1115.8,2,0.037,0,199,0,1.8,3.0,0.6679,1,1
5,3,79,0,1,4,26,0,43.4,1,1,1052.2,1064.4,19.061369,72.64583,6.8,30.509,1175.3,20,0.0179,0,199,0,1.8,3.0,0.6679,1,1
5,3,79,0,1,5,25,0,1.0,1,1,1055.6,1071.2,19.046503,72.760056,13.5,17.275,1016.8,50,0.1758,0,199,0,1.8,3.0,0.6679,1,1
5,3,79,0,1,6,24,0,34.1,0,1,0.0,214.0,19.029887,72.721951,270.6,75.31,958.4,8,0.6903,1,199,1,1.8,3.0,0.6679,1,1
5,3,79,0,1,7,23,0,1.0,0,1,0.0,518.5,18.998549,72.983144,93.5,4.161,1187.4,17,0.8662,1,199,1,1.8,3.0,0.6679,1,1
5,3,79,0,1,8,22,0,49.9,1,1,132.9,403.1,19.033772,72.746159,60.7,63.333,971.0,14,0.0939,0,199,0,1.8,3.0,0.6679,1,1
5,3,79,0,1,9,21,0,44.2,0,1,0.0,309.4,18.942416,72.696393,46.5,7.857,790.5,47,0.01,0,199,4,1.8,3.0,0.6679,1,1
5,3,79,0,1,10,20,0,25.9,1,1,1171.0,1302.0,19.042301,73.019857,38.6,51.94,813.8,47,0.0758,0,199,0,1.8,3.0,0.6679,1,1
5,3,79,0,1,11,19,0,44.4,0,1,0.0,321.1,18.920948,72.85575,28.9,23.472,1086.7,5,0.01,0,199,4,1.8,3.0,0.6679,1,1
5,3,79,0,1,12,18,0,22.8,1,1,0.0,474.7,19.189137,72.913872,50.6,72.912,384.4,20,0.4526,0,199,1,1.8,3.0,0.6679,1,1
5,3,79,0,1,13,17,0,29.8,0,1,0.0,421.2,19.128476,72.717167,38.2,68.389,105.9,21,0.0602,0,199,1,1.8,3.0,0.6679,1,1
5,3,79,0,1,14,16,0,231.0,0,1,0.0,188.4,19.002271,72.958618,63.3,74.919,641.0,26,0.0722,0,199,4,1.8,3.0,0.6679,1,1
5,3,79,0,1,15,15,0,34.7,0,1,0.0,455.3,19.182362,72.845287,26.4,26.697,317.7,55,0.092,0,199,1,1.8,3.0,0.6679,1,1
5,3,79,0,1,16,14,0,30.8,1,1,939.6,839.3,18.995988,72.827909,195.8,18.858,639.6,52,0.1304,0,199,0,1.8,3.0,0.6679,1,1
5,3,79,0,1,17,13,0,142.0,0,1,0.0,448.4,18.808217,72.893991,89.9,4.855,213.7,22,0.4314,0,199,4,1.8,3.0,0.6679,1,1
5,3,79,0,1,18,12,0,12.0,1,1,0.0,477.6,19.083074,72.872863,67.1,57.181,240.0,18,0.3563,0,199,4,1.8,3.0,0.6679,1,1
6,3,79,0,1,1,29,2,33.3,0,1,583.1,126.2,18.568444,73.870295,49.3,72.962,1192.0,56,0.0785,0,199,0,9.7,3.5,0.0382,1,1
6,3,79,0,1,2,28,2,4.7,1,1,0.0,464.1,18.496601,73.867925,76.5,12.044,994.1,57,0.8695,1,199,4,9.7,3.5,0.0382,1,1
6,3,79,0,1,3,27,2,8.9,0,1,0.0,138.9,18.424474,73.800632,59.7,18.809,1079.0,54,0.2103,0,199,4,9.7,3.5,0.0382,1,1
6,3,79,0,1,4,26,2,41.3,0,1,743.8,447.6,18.50414,73.858481,81.3,15.728,582.2,18,0.0687,0,199,0,9.7,3.5,0.0382,1,1
6,3,79,0,1,5,25,2,15.9,1,1,663.0,286.0,18.573336,73.91749,40.7,27.114,701.4,52,0.5425,0,199,0,9.7,3.5,0.0382,1,1
